#Aperture(m), Duration(hours), a, b
0.15, 4.2, 0.0009307269246447594, 0.45990179284543986
0.15, 4.3, 0.0009206809520732746, 0.4599079242566142
0.15, 4.4, 0.0009110018788594737, 0.4599105154949141
0.15, 4.5, 0.0009015670454134536, 0.4599167513151852
0.15, 4.6, 0.000892431763539727, 0.45992187959196745
0.15, 4.7, 0.0008835872711231993, 0.4599255067147093
0.15, 4.8, 0.0008750277544994563, 0.45992707947489375
0.15, 4.9, 0.0008666638745789575, 0.45993203897623963
0.15, 5.0, 0.000851271460196593, 0.4598949272024549
0.15, 5.1, 0.0008435787806507627, 0.4598991632278389
0.15, 5.2, 0.0008360971240591864, 0.45990279045916327
0.15, 5.3, 0.0008288021183675756, 0.45990696265623404
0.15, 5.4, 0.0008217277244659475, 0.45990851564841795
0.15, 5.5, 0.0008147871483387964, 0.4599133729055312
0.15, 5.6, 0.0008080536321769372, 0.45991546531712413
0.15, 5.7, 0.0008014690957847042, 0.45991866526749803
0.15, 5.8, 0.0007950427938902912, 0.4599217720148824
0.15, 5.9, 0.0007887886953976347, 0.4599232130870431
0.15, 6.0, 0.0007826600712128648, 0.45992617507690553
0.15, 6.1, 0.0007712502607895218, 0.45989730288648023
0.15, 6.2, 0.0007655087417319712, 0.45990130504015225
0.15, 6.3, 0.0007599226184724141, 0.4599028278821939
0.15, 6.4, 0.0007544265137642483, 0.4599068038499731
0.15, 6.5, 0.0007490696622543783, 0.45990888022285076
0.15, 6.6, 0.000743853714014825, 0.4599085416076466
0.15, 6.7, 0.0007386737752320235, 0.45991418337100215
0.15, 6.8, 0.0007336361465179624, 0.45991667868975844
0.15, 6.9, 0.0007287359254008468, 0.459916080587515
0.15, 7.0, 0.0007238510150992893, 0.459922455597435
0.15, 7.1, 0.0007191290468605103, 0.4599229956864531
0.15, 7.2, 0.000710270272927828, 0.45989667267874546
0.15, 7.3, 0.0007057568425255069, 0.45990194781159977
0.15, 7.4, 0.0007013383881862094, 0.45990621258747333
0.15, 7.5, 0.0006970616204430067, 0.4599050805462572
0.15, 7.6, 0.000692780889795068, 0.4599112176960873
0.15, 7.7, 0.0006886337440013368, 0.4599122151665211
0.15, 7.8, 0.0006845656018422862, 0.45991270298228193
0.15, 7.9, 0.0006805230317965991, 0.45991732193739376
0.15, 8.0, 0.0006765788221820003, 0.45991931891923726
0.15, 8.1, 0.0006727316563610555, 0.45991858557754195
0.15, 8.2, 0.0006688878876468094, 0.45992354358430504
0.15, 8.3, 0.0006617297116059854, 0.45990177154879314
0.15, 8.4, 0.0006581224220647439, 0.45990187791925774
